"PROVINCE","FED_CODE","FED_NAME","VOTE_COUNT_Liberal","VOTE_COUNT_Conservative","VOTE_COUNT_Bloc","VOTE_COUNT_NDP","VOTE_COUNT_Green","VOTE_COUNT_Other","VOTE_PCT_Liberal","VOTE_PCT_Conservative","VOTE_PCT_Bloc","VOTE_PCT_NDP","VOTE_PCT_Green","VOTE_PCT_Other","WINNER"
"British Columbia",59013,"Fleetwood—Port Kells",23250,21439,0,2885,460,499,0.47905548801846165,0.44174067129581934,0,0.05944408958852739,0.009478087074773866,0.010281664022417737,"Liberal"
"British Columbia",59014,"Kamloops—Shuswap—Central Rockies",26529,35556,0,3730,1639,602,0.38981133184436345,0.5224520982720113,0,0.05480780533678147,0.02408310802868226,0.008845656518161514,"Conservative"
"British Columbia",59015,"Kamloops—Thompson—Nicola",24961,32008,0,3681,936,516,0.4019355254259122,0.5154101317187852,0,0.059273453350938775,0.01507197835818492,0.008308911146178866,"Conservative"
"British Columbia",59016,"Kelowna",28702,27620,0,1941,578,0,0.48778912662939106,0.46940058802535645,0,0.032987202800768174,0.009823082544484288,0,"Liberal"
"British Columbia",59017,"Langley Township—Fraser Heights",28034,33574,0,2611,491,650,0.42891676866585066,0.5136780905752754,0,0.03994798041615667,0.007512239902080784,0.009944920440636475,"Conservative"
"British Columbia",59018,"Mission—Matsqui—Abbotsford",21838,33791,0,2745,723,502,0.3664155438849645,0.5669726002114129,0,0.04605781976207655,0.012131076024765515,0.008422960116780483,"Conservative"
"British Columbia",59019,"Nanaimo—Ladysmith",20656,26381,0,13586,13485,289,0.2776456039894082,0.35459763162493113,0,0.182614890385365,0.1812573087624501,0.003884565237845612,"Conservative"
"British Columbia",59020,"New Westminster—Burnaby—Maillardville",19547,17507,0,17574,690,385,0.35091467245929303,0.314291869378669,0,0.3154946771269052,0.012387124571387537,0.006911656463745221,"Liberal"
"British Columbia",59021,"North Island—Powell River",21218,31356,0,26357,1505,493,0.26218042975941874,0.3874507284162661,0,0.325680534789754,0.01859654759109837,0.006091759443462789,"Conservative"
"British Columbia",59022,"North Vancouver—Capilano",37907,21339,0,2684,1076,358,0.598241903920207,0.33676851208888325,0,0.042358436967363175,0.016981251183637396,0.0056498958399090965,"Liberal"
"British Columbia",59023,"Okanagan Lake West—South Kelowna",28827,33219,0,2189,602,397,0.44190146242756845,0.509228316522059,0,0.03355612104117485,0.009228316522059049,0.006085783487138609,"Conservative"
